pacSelector,kind,owner,principalId,lastChange,category,displayName,id
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:35.9552206Z,,Deploy TDE on SQL servers,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-SQL-TDE
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.1148835Z,,Deploy Threat Detection on SQL servers,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-SQL-Threat
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.3202593Z,,Configure backup on virtual machines without a given tag to a new recovery services vault with a default policy,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-VM-Backup
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:34.87362Z,,Enable ChangeTracking and Inventory for virtual machines,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-VM-ChangeTrack
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:31.6592934Z,,Enable Azure Monitor for VMs,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-VM-Monitoring
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.3474954Z,,Enable ChangeTracking and Inventory for Arc-enabled virtual machines,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-vmArc-ChangeTrack
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.3762464Z,,Enable Azure Monitor for Hybrid Virtual Machines,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-vmHybr-Monitoring
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.5076361Z,,Enable ChangeTracking and Inventory for virtual machine scale sets,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-VMSS-ChangeTrack
quick-start,Assignment(PolicySet-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.8202115Z,,Enable Azure Monitor for Virtual Machine Scale Sets,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Deploy-VMSS-Monitoring
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:33.4745465Z,,Configure periodic checking for missing system updates on azure virtual machines and Arc-enabled virtual machines.,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enable-AUM-CheckUpdates
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.4821123Z,,Virtual networks should be protected by Azure DDoS Network Protection,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enable-DDoS-VNET
quick-start,Assignment(Policy-Builtin),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:31.3354046Z,,Kubernetes clusters should be accessible only over HTTPS,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-AKS-HTTPS
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.2326299Z,,Enforce enhanced recovery and backup policies,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-ASR
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:31.6460399Z,,Enforce recommended guardrails for Customer Managed Keys,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-Encrypt-CMK0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:32.5089403Z,,Enforce recommended guardrails for API Management,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-APIM0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T12:53:35.6910007Z,,Enforce recommended guardrails for App Services,/providers/Microsoft.Management/managementGroups/mgmt-landingzones/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-AppServices0
